TSP instances (optimal),Algorithm,Min Cost,Avg Cost,Inaccuracy
eil51(426),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",437,458,2.6
eil51(426),"RL+GA, Method=q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",441,460,3.5
eil51(426),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",443,459,4.0
eil51(426),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",440,460,3.3
eil51(426),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",433,452,1.6
eil51(426),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",426,447,0.0
eil51(426),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",436,456,2.3
eil51(426),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",431,446,1.2
eil51(426),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",443,456,4.0
eil51(426),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",434,461,1.9
eil51(426),"RL, Method=double_q_learning, Gamma=0.01, Reward=1, Epsilon=1",491,537,15.3
eil51(426),"RL, Method=double_q_learning, Gamma=0.15, Reward=1, Epsilon=1",482,541,13.1
eil51(426),"RL, Method=double_q_learning, Gamma=0.3, Reward=1, Epsilon=1",483,557,13.4
eil51(426),"RL, Method=q_learning, Gamma=0.01, Reward=1, Epsilon=1",491,537,15.3
